WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
flaute,"-1,05","0,94451324","1,1304","0,45769659","2,2174","1,3469","1,5217","0,9941","1,7391","1,2869","1,1304","0,4577"
flegel,"-0,9","1,02083557","1,5","1,10194633","2,3182","1,0861","1,2727","0,6311","1,2727","0,6311","1,6364","1,0022"
fleisch,"-0,4411765","1,58001106","1,55","0,82557795","1,5","0,8885","1,5","0,9459","1,3","0,8013","2,25","1,4096"
fliege,"-0,95","1,09904265","1,2","0,89442719","2,35","1,3089",1,0,"1,2","0,4104","2,5","1,469"
flirt,"1,7","0,67494856","3,55","1,46808145","1,8","1,0052","1,6","1,0954","2,1","1,3338","1,4","1,0954"
floß,"0,68","1,36","2,65","1,34848843","1,2","0,6959","1,2","0,8944","1,95","0,9445",1,0
flÃ¶te,"0,5","1,65","2,2381","1,2208506","1,5714","1,1212","1,4762","1,0779","1,1905","0,5118","1,6667","1,354"
fluch,"-2,1","0,73786479","1,5","1,27733275","2,4","1,429","1,75","0,7864","2,75","1,5517","1,55","0,8256"
flucht,"-1,5294118","1,28476608","1,4545","1,05682691",2,"1,1547","1,7727","1,2318","2,9545","1,2902","1,2273","0,5284"
flugzeug,"0,5","1,3540064","2,25","1,40955387","1,25","0,6387","1,3","0,6569","1,75","0,9105","1,1","0,4472"
flut,"-0,8","0,91893658","1,7727","1,26986382","2,1364","1,1668","2,1818","1,3675","2,8636","1,2458","1,4545","0,7385"
fohlen,"1,4","1,14248114","2,8696","1,42396207","1,087","0,417","1,087","0,417","1,1739","0,491","1,2609","0,6887"
fÃ¶hn,"0,41","1,22","1,8","1,1050125","1,85","1,2258","1,2","0,8944","1,35","0,9881","1,2","0,5231"
folge,"-0,15","0,58714295",2,"1,22474487","1,5714","0,8701","1,4286","0,8106","1,9048","1,136","1,381","0,8047"
folter,"-2,8","0,52314836","1,1818","0,66449864","3,1818","1,5318","2,1818","1,5004","3,0909","1,4445","2,4545","1,5653"
form,"0,35294118","0,84861216",2,"1,41421356","1,3182","0,6463","1,1364","0,4676","1,2273","0,6119","1,1818","0,5011"
forscher,"1,08823529","0,96507645","2,55","0,99868334","1,25","0,6387",1,0,"1,1","0,4472","1,05","0,2236"
fortuna,"2,2","1,03279556","3,15","1,42441124","1,1","0,3078","1,2","0,5231","1,1","0,3078",1,0
foto,"0,9","0,87559504","3,5652","1,37596535","1,4783","0,7903","1,6522","1,0273","1,3043","0,635","1,0435","0,2085"
